当前排名,视频标题,播放量,弹幕数量,评分,作者,链接,时长,评论量,收藏,硬币,分享,点赞
70,《 假 如 炖 汤 要 考 级 》,43万,1600,983570,马蹄厨房,//www.bilibili.com/video/BV1AF41187Yz,417,997,25026,15848,4859,29830
71,B站的小伙伴们~终于见面了，“人民武警”来啦！,41.8万,2588,968190,人民武警,//www.bilibili.com/video/BV1di4y1o72P,145,5213,5910,22540,1749,59100
72,这就是社交NB症嘛？cos迪迦竟被小朋友嫌弃,46.1万,4363,966224,胡凯利_洞主,//www.bilibili.com/video/BV1UR4y147Z3,464,2512,8115,53377,7481,41250
73,【半佛】一个基础的4S店防坑指南。,51万,1800,965817,硬核的半佛仙人,//www.bilibili.com/video/BV1aM4y1w79A,1062,2115,17049,12538,5866,38039
74,无流量无IP，竟吊打一众甜宠烂剧，强烈安利高分女性群像剧《爱很美味》【哇妹】,55.2万,3447,956381,哇哇哇妹,//www.bilibili.com/video/BV1Fr4y1X77G,646,2307,7693,19207,6637,57090
75,你身为百万up，也开始卖货恰烂钱了？,30.2万,1731,955145,溫暖的冷风,//www.bilibili.com/video/BV1xg411A7Rt,330,3815,5570,55059,1137,50227
76,曾梦想仗剑走天涯，为自己的梦想努力，我做到了，双脚也能玩转乐器，带来一首《曾经的你》,35.1万,392,953620,追梦者刘涛,//www.bilibili.com/video/BV16i4y1o73c,86,1140,6682,61517,1674,59122
77,【4K60FPS】周杰伦《梯田+爸我回来了》神级现场！羽化登仙！,50.2万,2031,947244,音乐私藏馆,//www.bilibili.com/video/BV14Q4y1i7ZA,277,1403,13217,12892,4202,45197
78,成为up主之后，我是怎样对接商务的,54万,5653,947030,Zhan丨,//www.bilibili.com/video/BV1W3411b7Z2,273,3189,3485,16683,2237,66638
79,当你在学校的十佳歌手决赛演唱套马杆并且拿了创意奖。。。？？？？？？？,188.3万,3598,941994,坤坤酱老公,//www.bilibili.com/video/BV1Qq4y1B7H3,249,5106,16812,30128,11801,140731
80,这就是男寝！,62.8万,1497,941569,自来卷三木,//www.bilibili.com/video/BV1vg411A7ev,197,849,2499,6027,1541,78673
81,自 我 介 绍,58.8万,803,937600,异次元臭豆腐,//www.bilibili.com/video/BV1fi4y1o7eH,122,678,12547,12776,14813,42315
82,射雕江湖最精彩的顶级阴谋对决！金庸先生太会写故事了！经典回顾《射雕英雄传》第三篇：黄蓉大破桃花岛惨案...,52.6万,6171,923855,虫哥说电影,//www.bilibili.com/video/BV1i34y1R7Yx,1505,1927,4529,24555,377,55009
83,她习惯把温柔藏在责任背后。,80.7万,284,919403,第二信号系统,//www.bilibili.com/video/BV1rb4y1q7QK,73,758,3784,208,125,78111
84,喜提粉丝，四平公安史上首例，董叔必须给他好好安排上,90.9万,2470,913855,辣个董叔,//www.bilibili.com/video/BV1ER4y147cr,275,1796,2483,10125,627,52795
85,央美学长给你选帽子 | 一顶合适的帽子，可以拯救整个头~,49.5万,4338,904572,晓观队长,//www.bilibili.com/video/BV1844y1Y7Ew,254,741,16897,10141,1970,33873
86,最初的辉煌！三十年前的中国，到底有多开放？中国情景喜剧发展史 · 上,51万,6499,904367,小片片说大片,//www.bilibili.com/video/BV1or4y1Q791,1828,1803,6736,19997,913,49385
87,楚 门 的 小 学,72.8万,2786,884462,乡村教师日记,//www.bilibili.com/video/BV12b4y1B79C,361,2274,1826,16804,624,49570
88,“旅人终会离去”,126.9万,685,883723,老劫难,//www.bilibili.com/video/BV1N3411b7cu,46,4261,23202,4352,5227,96788
89,【天使降临/重制版】警察与小偷（陈佩斯朱时茂小品）,47.6万,470,874335,上白石萌音,//www.bilibili.com/video/BV1fh411s7a9,338,709,9055,22241,3599,41135
90,19元怼一顿自助小火锅，配上半斤二锅头，带劲,66.6万,4723,871179,田野上的繁荣,//www.bilibili.com/video/BV1734y1R7ZS,479,1874,1983,14180,1055,53775
91,#野兽派十年之歌野兽的花#，MV重现当年真实订花故事。井柏然龚俊王晰献唱，郝蕾郭涛与众实力演员演绎。,87.9万,1699,867789,Beast野兽派官方,//www.bilibili.com/video/BV1kq4y1B7fH,315,946,11625,1462,3978,69591
92,又生一窝黑老鼠…毁灭吧我累了…                          花枝鼠耗子奶鼠搞笑沙雕逗比饲养日常蓄精科普,81.1万,2779,863773,走南养老院,//www.bilibili.com/video/BV1aY411s7cT,218,2606,2595,8366,1868,49192
93,求求学校物价真实点吧！！！,241万,5450,857393,是莫叔叔吗,//www.bilibili.com/video/BV1iL4y1p77d,262,7649,13384,8698,12708,210297
94,学校晚上通知停课，妈妈没来得及告诉女儿，第二天孩子反应太真实,153.6万,147,851895,实时视频,//www.bilibili.com/video/BV1Qf4y1K7u1,25,1175,8098,221,553,131965
95,贵州“爆下饭”酸汤牛肉，8斤牛肉一锅煮酸辣开胃，现场“抓到”5个帅小伙一起吃爽了,73.9万,3378,848196,肉肉大搜索,//www.bilibili.com/video/BV1nL4y1W7cM,365,1779,2548,7318,5203,50049
96,《象棋》逗瓣8.9,101.9万,642,844148,烂活传说,//www.bilibili.com/video/BV1EU4y1T7yu,65,592,6606,218,6411,56841
97,东北人为什么当不了霸道总裁？,63.4万,724,843336,姚姚不是P30,//www.bilibili.com/video/BV1GL4y1W7CW,102,623,1601,2404,1473,66911
98,豆瓣评分8.9  一部暖心治愈片《一个叫欧维的男人决定去死》一点要看完！,151.6万,662,843252,老实人讲电影,//www.bilibili.com/video/BV1Tq4y1r7do,484,896,18429,3065,1473,71019
99,纵然人生起起落落，仍要热烈而又自在的活。,85.5万,2627,839563,没煮熟的大鹅,//www.bilibili.com/video/BV1e44y1h7J3,179,1417,2562,9838,927,43044
100,【谭谈音乐】谭sir携手马东再上岗！二仙桥老司机带队发车,170.8万,1425,836167,和平精英,//www.bilibili.com/video/BV1gP4y1V71r,156,1082,8037,6757,5778,70108
